symbol,companyName,sector,marketCap,revenueGrowthYoY,earningsGrowthYoY,profitMargin,roe,debtToEquityRatio,qualityScore,finalScore
"CHD","Church & Dwight Co., Inc.","Consumer Defensive","24046486280","4.08","-22.54","9.58","13.42","0.51","","84"
"HSIC","Henry Schein, Inc.","Healthcare","9065705600","2.71","-6.25","3.08","11.49","0.85","","84"
"O","Realty Income Corporation","Real Estate","52198024000","29.23","-1.32","16.33","2.22","0.69","","84"
"EQIX","Equinix, Inc.","Real Estate","77803276220","6.84","-15.91","9.32","6.02","1.4","","84"
"SWKS","Skyworks Solutions, Inc.","Technology","11583953640","-12.45","-39.36","14.27","9.41","0.19","","84"
"HCA","HCA Healthcare, Inc.","Healthcare","93710790220","8.67","9.88","8.16","-230.49","-18.1","","80"
"URI","United Rentals, Inc.","Industrials","50318325086","7.07","6.23","16.78","29.87","1.72","","84"
"MLM","Martin Marietta Materials, Inc.","Basic Materials","33619961872","-3.56","70.67","30.52","21.1","0.61","","84"
"RCL","Royal Caribbean Cruises Ltd.","Consumer Cyclical","85568556000","18.6","69.53","17.45","38.04","2.75","","82"
"UHS","Universal Health Services, Inc.","Healthcare","12173004025","10.82","59.11","7.22","16.92","0.73","","84"
"AVGO","Broadcom Inc.","Technology","1245196647800","43.99","-58.14","11.43","8.71","1","","82"
"GOOGL","Alphabet Inc.","Communication Services","2138741215937","13.87","35.67","28.6","30.8","0.08","","84"
"ALLE","Allegion plc","Industrials","12705179145","3.33","10.57","15.84","39.81","1.33","","84"
"META","Meta Platforms, Inc.","Communication Services","1808225423150","21.94","59.5","37.91","34.14","0.27","","84"
"MHK","Mohawk Industries, Inc.","Consumer Cyclical","6840827427","-2.68","217.79","4.78","6.86","0.35","","82"
"TSCO","Tractor Supply Company","Consumer Cyclical","28673378240","2.25","-0.54","7.4","48.51","2.39","","84"
"DAL","Delta Air Lines, Inc.","Industrials","31994697000","6.19","-24.99","5.61","22.61","1.49","","84"
"NWSA","News Corporation","Communication Services","17672470822","2.09","78.52","2.64","3.28","0.5","","84"
"VRTX","Vertex Pharmaceuticals Incorporated","Healthcare","116113331520","11.66","-114.8","-4.86","-3.26","0.11","","84"
"AME","AMETEK, Inc.","Industrials","42264709740","5.22","4.79","19.83","14.25","0.22","","84"
"ESS","Essex Property Trust, Inc.","Real Estate","18334973404","6.29","82.72","41.79","13.39","1.2","","84"
"GM","General Motors Company","Consumer Cyclical","50023463050","9.08","-40.67","3.21","9.53","2.07","","84"
"ABBV","AbbVie Inc.","Healthcare","335598336000","3.71","-12.03","7.59","128.66","20.19","","77"
"APTV","Aptiv PLC","Consumer Cyclical","15604709100","-1.69","-39.18","9.07","20.32","1.01","","84"
"GRMN","Garmin Ltd.","Technology","40651181330","20.44","9.44","22.41","17.98","0.02","","84"
"ZTS","Zoetis Inc.","Healthcare","70872661520","8.33","6.06","26.86","52.12","1.41","","84"
"REGN","Regeneron Pharmaceuticals, Inc.","Healthcare","56779626680","8.27","11.61","31.07","15.03","0.09","","84"
"MDLZ","Mondelez International, Inc.","Consumer Defensive","89290787200","1.18","-7.02","12.65","17.12","0.68","","84"
"HUM","Humana Inc.","Healthcare","30484637940","10.7","-51.51","1.02","7.37","0.72","","84"
"PNR","Pentair plc","Industrials","17283561350","-0.53","0.43","15.32","17.55","0.46","","84"
"DG","Dollar General Corporation","Consumer Defensive","25374186300","4.96","-32.27","2.77","15.18","2.36","","84"
"LYB","LyondellBasell Industries N.V.","Basic Materials","19669680000","-1.96","-35.62","3.38","10.92","1.04","","84"
"KMI","Kinder Morgan, Inc.","Energy","62951243100","-1.53","9.28","17.3","8.56","1.04","","84"
"STX","Seagate Technology Holdings plc","Technology","30779953680","-11.28","163.33","5.11","-22.47","-4.07","","82"
"PSX","Phillips 66","Energy","50175866550","-2.88","-69.92","1.47","7.69","0.73","","84"
"LRCX","Lam Research Corporation","Technology","123831607200","-14.48","-15.14","25.68","44.82","0.58","","84"
"XYL","Xylem Inc.","Industrials","31878981000","16.27","46.14","10.39","8.36","0.19","","84"
"MNST","Monster Beverage Corporation","Consumer Defensive","61967130840","4.94","-7.48","20.14","25.33","0.06","","84"
"TEL","TE Connectivity Ltd.","Technology","50492887420","-1.18","67.17","20.15","25.84","0.35","","84"
"CCI","Crown Castle Inc.","Real Estate","45165807480","-5.92","-359.85","-59.42","2934.59","-222.65","","73"
